0	1
gwangju institute of science and technology,gwangju,KR	chungbuk national university,cheongju,KR
gwangju institute of science and technology,gwangju,KR	chung-ang university,anseong,KR
gwangju institute of science and technology,gwangju,KR	daegu university,gyeongsan,KR
gwangju institute of science and technology,gwangju,KR	daegu university,gyeongsan,KR
gwangju institute of science and technology,gwangju,KR	gangneung-wonju national university,gangneung,KR
chungbuk national university,cheongju,KR	changwon national university,changwon,KR
chungbuk national university,cheongju,KR	jeonbuk national university,jeonju,KR
chungbuk national university,cheongju,KR	wonkwang university,iksan,KR
chungbuk national university,cheongju,KR	gyeongsang national university,jinju,KR
seoul national university,seoul,KR	chungbuk national university,cheongju,KR
seoul national university,seoul,KR	chungbuk national university,cheongju,KR
seoul national university,seoul,KR	chungnam national university,daejeon,KR
seoul national university,seoul,KR	chungnam national university,daejeon,KR
seoul national university,seoul,KR	chungnam national university,daejeon,KR
seoul national university,seoul,KR	hannam university,daejeon,KR
seoul national university,seoul,KR	hannam university,daejeon,KR
seoul national university,seoul,KR	hannam university,daejeon,KR
seoul national university,seoul,KR	changwon national university,changwon,KR
seoul national university,seoul,KR	pohang university of science and technology,pohang,KR
seoul national university,seoul,KR	pohang university of science and technology,pohang,KR
seoul national university,seoul,KR	pohang university of science and technology,pohang,KR
seoul national university,seoul,KR	pohang university of science and technology,pohang,KR
seoul national university,seoul,KR	chung-ang university,seoul,KR
seoul national university,seoul,KR	chung-ang university,seoul,KR
seoul national university,seoul,KR	chung-ang university,seoul,KR
seoul national university,seoul,KR	inha university,incheon,KR
seoul national university,seoul,KR	inha university,incheon,KR
seoul national university,seoul,KR	inha university,incheon,KR
seoul national university,seoul,KR	inha university,incheon,KR
seoul national university,seoul,KR	inha university,incheon,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	chosun university,gwangju,KR
seoul national university,seoul,KR	chosun university,gwangju,KR
seoul national university,seoul,KR	jeju national university,jeju,KR
seoul national university,seoul,KR	jeju national university,jeju,KR
seoul national university,seoul,KR	jeonbuk national university,jeonju,KR
seoul national university,seoul,KR	jeonbuk national university,jeonju,KR
seoul national university,seoul,KR	jeonbuk national university,jeonju,KR
seoul national university,seoul,KR	jeonbuk national university,jeonju,KR
seoul national university,seoul,KR	sungkyunkwan university,suwon,KR
seoul national university,seoul,KR	ewha womans university,seoul,KR
seoul national university,seoul,KR	ewha womans university,seoul,KR
seoul national university,seoul,KR	ewha womans university,seoul,KR
seoul national university,seoul,KR	korea advanced institute of science and technology,daejeon,KR
seoul national university,seoul,KR	university of seoul,seoul,KR
seoul national university,seoul,KR	university of seoul,seoul,KR
seoul national university,seoul,KR	gangneung-wonju national university,gangneung,KR
seoul national university,seoul,KR	gangneung-wonju national university,gangneung,KR
seoul national university,seoul,KR	gangneung-wonju national university,gangneung,KR
seoul national university,seoul,KR	gangneung-wonju national university,gangneung,KR
seoul national university,seoul,KR	sungshin women’s university,seoul,KR
seoul national university,seoul,KR	ajou university,suwon,KR
seoul national university,seoul,KR	hanyang university,seoul,KR
seoul national university,seoul,KR	yonsei university,seoul,KR
seoul national university,seoul,KR	yonsei university,seoul,KR
seoul national university,seoul,KR	hallym university,chuncheon,KR
seoul national university,seoul,KR	hallym university,chuncheon,KR
seoul national university,seoul,KR	university of ulsan,ulsan,KR
seoul national university,seoul,KR	university of ulsan,ulsan,KR
seoul national university,seoul,KR	university of ulsan,ulsan,KR
seoul national university,seoul,KR	university of ulsan,ulsan,KR
seoul national university,seoul,KR	sangmyung university,seoul,KR
seoul national university,seoul,KR	sangmyung university,seoul,KR
seoul national university,seoul,KR	sogang university,seoul,KR
