0
university of pennsylvania,philadelphia,US
university of washington,seattle,US
myongji university,yongin,KR
seoul national university,seoul,KR
university of california,berkeley,US
sungkyunkwan university,suwon,KR
sejong university,seoul,KR
northwestern university,evanston,US
michigan state university,east lansing,US
columbia university in the city of new york,new york,US
pennsylvania state university,university park,US
university of florida,gainesville,US
university of california,oakland,US
jeonbuk national university,jeonju,KR
chonnam national university,gwangju,KR
sunchon national university,suncheon,KR
korea advanced institute of science and technology,daejeon,KR
yeungnam university,gyeongsan,KR
pusan national university,busan,KR
myongji university,seoul,KR
yonsei university,seoul,KR
dankook university,cheonan,KR
northeastern university,boston,US
washington university in st. louis,st. louis,US
alabama a&m university,huntsville,US
budapest university of technology and economics,budapest,HU
soongsil university,seoul,KR
korea university,seoul,KR
brandeis university,waltham,US
kyung hee university,seoul,KR
university of california,san diego,US
university of rochester,rochester,US
the university of texas at austin,austin,US
the ohio state university,columbus,US
university of notre dame,notre dame,US
cornell university,ithaca,US
yale university,new haven,US
harvard university,cambridge,US
university of tokyo,tokyo,JP
pohang university of science and technology,pohang,KR
stony brook university,stony brook,US
indiana university bloomington,bloomington,US
texas a&m university,college station,US
university of wisconsin - madison,madison,US
university of california,davis,US
kent state university,kent,US
sun moon university,asan,KR
purdueuniversity,west lafayette,US
soganguniversity,seoul,KR
ewha womans university,seoul,KR
korea national university of education,cheongju,KR
the university of arizona,tucson,US
university of georgia,athens,US
university of marburg,marburg,DE
university of dayton,dayton,US
university of central florida,orlando,US
massachusetts institute of technology,cambridge,US
university of illinois at urbana-champaign,champaign,US
osaka university,osaka,JP
michigan state university, east lansing,US
university of massachusetts lowell,lowell,US
university of notre dame, notre dame,US
rashtrasant tukadoji maharaj nagpur university,nagpur,IN
university paris diderot,paris,FR
pukyong national university,busan,KR
north carolina state university,raleigh,US
"university of cambridge,cambridge,UK
"
konkuk university,seoul,KR
duke university,durham,US
purdue university,west lafayette,US
the university of tennessee,knoxville,US
university of wisconsin-madison,madison,US
university of glasgow,glasgow,UK
university of cambridge,cambridge,UK
rwth aachen university,aachen,DE
kyungpook national university,daegu,KR
andong national university,andong,KR
state university of new york,new york,US
ulsan national institute of science and technology,ulsan,KR
chungnam national university,daejeon,KR
university of pittsburgh,pittsburgh,US
chungbuk national university,cheongju,KR
princeton university,princeton,US
handong global university,pohang,KR
weizmann institute of science,rehovot,IL
university of toronto,toronto,CA
university of new mexico,albuquerque,US
kunsan national university,gunsan,KR
university of minnesota-twin cities,minneapolis,US
dongseo university,busan,KR
hanyang university,seoul,KR
kangwon national university,chuncheon,KR
university of edinburgh,edinbhurgh,UK
gwangju institute of science and technology,gwangju,KR
iowa state university,ames,US
university of maryland,college park,US
university of chicago,chicago,US
johns hopkins university,baltimore,US
kongju national university,gongju,KR
the university of alabama,tuscaloosa,US
university of warwick,coventry,UK
kookmin university,seoul,KR
brown university,providence,US
the university of tokyo,tokyo,JP
kumoh national institute of technology,gumi,KR
university of seoul,seoul,KR
daegu university,gyeongsan,KR
university of nebraska-lincoln,lincoln,US
dongguk university,seoul,KR
university of cologne,cologne,DE
dankook university,yongin,KR
sogang university,seoul,KR
mokpo national university,muan,KR
paris sud university,orsay,FR
universite louis pasteur strasbourg,strasbourg,FR
stanford university,stanford,US
temple university,philadelphia,US
university of gottingen,gottingen,DE
polytechnic university of milan,milan,IT
konkuk university,chungju,KR
korea institute of science and technology,seoul,KR
gyeongsang national university,jinju,KR
tohoku university,miyagi,JP
university of cincinnati,cincinnati,US
state university of new york,buffalo,US
jeju national university,jeju,KR
university of california,los angeles,US
university of houston,houston,US
arkansas state university,jonesboro,US
"incheon national university,_x0008_incheon,KR
"
tokyo institute of technology,tokyo,JP
chosun university,gwangju,KR
changwon national university,changwon,KR
university of kansas,lawrence,US
kyunghee university,seoul,KR
cheongju university,cheongju,KR
university of science and technology,daejeon,KR
university of colorado boulder,boulder,US
california institute of technology,pasadena,US
university of michigan,ann arbor,US
rutgers university,new brunswick,US
tohoku university,sendai,JP
kentucky state university,frankfort,US
hanyang university,ansan,KR
gachon university,seongnam,KR
gachon univerity,incheon,KR
virginia polytechnic institute and state university,blacksburg,US
university of oxford,oxford,UK
the catholic university of korea,bucheon,KR
kwangwoon university,seoul,KR
hampton university,hampton,US
delhi university,new delhi,IN
emory university,atlanta,US
gifu university,gifu,JP
gangneung-wonju national university,gangneung,KR
dong-a university,busan,KR
korea advanced institute of science and technology,daejeon,KR 
gwangju university,gwangju,KR
university of california,irvine,US
imperial college,london,UK
inha university,incheon,KR
ajou university,suwon,KR
queens university belfast,belfast,UK
paris-sud university,orsay,FR
florida state university,tallahassee,US
eberhard karls university of tubingen,tubingen,DE
soonchunhyang university,asan,KR
university of connecticut,storrs,US
technical university of berlin,berlin,DE
kyoto university,kyoto,JP
university of missouri,columbia,US
university of rochester,rochester,US 
hankuk university of foreign studies,seoul,KR
university of bristol,bristol,UK
hallym university,chuncheon,KR
university of tsukuba,tsukuba,JP
sungkyunkwan university,suwon, KR
hiroshima university,higashi-hiroshima,JP
california state university,northridge,US
national university of distance education,madrid,ES
university of sydney,sydney,AU
university of strathclyde,glasgow,UK
syracuse university,syracuse,US
university of auckland,auckland,NZ
university of oregon,eugene,US
university of tübingen,tübingen,DE
university of tohoku,sendai,JP
university of tokyo,bunkyo,JP
university of bonn,bonn,DE
national university of uzbekistan,tashkent,UZ
chung-ang university,seoul,KR
royal institute of technology,stockholm,SE
university of ulsan,ulsan,KR
halla university,wonju,KR
yonsei university,wonju,KR
